student_id,semester,course_code,course_name,subject_area,credits,instructor,grade_letter,numeric_grade,prior_gpa,study_hours,attendance_rate,gender,age,year_of_study,scholarship,extracurricular,internship,homework_avg,final_exam
1758,2021Spring,CS212,Cloud Computing,Systems,4,Garcia,C+,78.82,2.63,16.5,75.9,Other,24,Senior,0,4,0,82.81,77.46
3956,2020Fall,CS236,Elective 16,Algorithms,3,Wilson,C+,79.0,2.91,8.9,89.9,F,18,Freshman,0,3,0,,85.63
2012,2021Spring,CS222,Elective 2,AI,4,Thomas,B,86.99,3.19,21.8,,M,21,Sophomore,0,1,0,79.4,98.47
2051,2021Spring,CS102,Data Structures,Programming,3,Miller,A-,92.17,3.59,,,Other,18,Freshman,1,4,0,,100.0
2953,2023Spring,CS230,Elective 10,Systems,3,Rodriguez,B-,82.46,3.62,31.7,100.0,M,18,Freshman,0,2,0,87.62,83.58
1080,2023Spring,CS235,Elective 15,Systems,3,Miller,B,86.22,3.55,26.6,73.0,Other,22,Junior,0,4,0,89.09,97.78
4467,2020Spring,CS102,Data Structures,Programming,3,Hernandez,C,76.75,3.24,26.7,75.1,M,21,Sophomore,1,2,0,79.13,72.98
5421,2021Fall,CS223,Elective 3,Data Science,3,Moore,D,60.07,2.1,14.3,91.0,Other,20,Sophomore,0,1,0,64.43,61.73
1740,2022Spring,CS203,Computer Organization,Systems,3,Garcia,A-,92.89,2.57,24.2,64.8,M,18,Freshman,0,1,0,82.28,
5391,2021Fall,CS217,Compiler Design,Systems,3,Brown,B-,81.73,2.76,22.6,100.0,F,18,Freshman,0,1,0,85.24,86.48
5848,2020Spring,CS207,Software Engineering,Software Engineering,4,Brown,C,74.63,2.74,7.9,100.0,M,20,Sophomore,0,2,0,63.07,76.05
1762,2021Fall,CS214,Big Data,Data Science,3,Hernandez,B,86.45,3.6,17.2,69.7,F,18,Freshman,1,1,0,78.74,98.11
1779,2022Spring,CS234,Elective 14,Systems,3,Lopez,A,97.25,2.34,17.2,,F,20,Sophomore,0,1,0,99.09,93.03
1077,2022Spring,CS230,Elective 10,Systems,4,Garcia,C+,78.08,3.61,15.0,80.6,M,18,Freshman,0,2,0,77.68,75.56
2226,2021Fall,CS218,Parallel Computing,Systems,4,Brown,B,85.76,3.46,13.0,74.4,M,18,Freshman,0,2,1,80.53,85.81
2138,2023Spring,CS214,Big Data,Data Science,3,Johnson,B+,88.24,3.58,16.4,48.0,F,21,Sophomore,0,2,0,84.52,
1995,2023Spring,CS202,Discrete Math,Theory,3,Davis,D,63.91,4.0,12.3,65.9,Other,23,Junior,1,3,0,,66.27
5354,2020Spring,CS102,Data Structures,Programming,3,Martinez,C+,78.53,4.0,111.7,66.6,M,22,Junior,0,3,0,71.79,85.98
1093,2023Fall,CS218,Parallel Computing,Systems,3,Taylor,B-,80.95,2.61,0.6,100.0,F,19,Freshman,0,1,0,81.48,
2705,2021Spring,CS224,Elective 4,Networks,3,Davis,B-,80.73,3.18,21.6,84.0,Other,21,Sophomore,0,1,0,91.34,80.64
2494,2022Fall,CS220,Cryptography,Theory,4,Davis,B,84.86,3.98,20.2,100.0,M,22,Junior,0,2,1,92.57,93.3
4489,2021Spring,CS232,Elective 12,Systems,4,Jones,C-,71.07,3.66,15.6,,F,20,Sophomore,1,2,0,78.23,53.51
4873,2022Spring,CS228,Elective 8,Systems,3,Miller,C,75.23,3.72,20.3,70.4,Other,18,Freshman,0,1,0,,66.72
5852,2022Fall,CS226,Elective 6,Algorithms,4,Garcia,C,76.31,2.81,21.8,84.7,Other,23,Junior,0,3,0,78.28,
2717,2023Fall,CS230,Elective 10,Systems,3,Lee,B,83.44,3.08,19.0,100.0,F,21,Sophomore,0,0,0,86.19,90.6
